date,label
1/1/2022,85.42
1/8/2022,82.08
1/15/2022,84.47
1/22/2022,89.22
1/29/2022,96.45
2/5/2022,92.87
2/12/2022,89.47
2/19/2022,88.14
2/26/2022,65.1
3/5/2022,76.76
3/12/2022,78.89
3/19/2022,78.6
3/26/2022,78.49
4/2/2022,80.09
4/9/2022,79.97
4/16/2022,88.99
4/23/2022,84.45
4/30/2022,91.54
5/7/2022,88.48
5/14/2022,80.39
5/21/2022,84.2
5/28/2022,86.87
6/4/2022,81.86
6/11/2022,82.37
6/18/2022,83.43
6/25/2022,85.58
7/2/2022,82.79
7/9/2022,85.38
7/16/2022,76.3
7/23/2022,78.55
7/30/2022,84.76
8/6/2022,88.87
8/13/2022,98.01
8/20/2022,90.31
8/27/2022,77.89
9/3/2022,66.08
9/10/2022,73.27
9/17/2022,65.77
9/24/2022,66.73
10/1/2022,69.85
10/8/2022,68.02
10/15/2022,68.72
10/22/2022,81.21
10/29/2022,76.36
11/5/2022,75.84
11/12/2022,72.47
11/19/2022,78.97
11/26/2022,87.98
12/3/2022,87.73
12/10/2022,83.68
12/17/2022,86.85
12/24/2022,79.4
12/31/2022,75.55
1/7/2023,77.2
1/14/2023,82.6
1/21/2023,86.94
1/28/2023,90.9
2/4/2023,90.44
2/11/2023,93.33
2/18/2023,94.79
2/25/2023,89.27
3/4/2023,96.83
3/11/2023,85.57
3/18/2023,85.4
3/25/2023,91.75
4/1/2023,96.75
4/8/2023,94.11
4/15/2023,89.86
4/22/2023,87.65
4/29/2023,84.96
5/6/2023,88.93
5/13/2023,89.43
5/20/2023,83.13
5/27/2023,78.52
6/3/2023,86.14
6/10/2023,91.92
6/17/2023,87.55
6/24/2023,89.57
7/1/2023,86.15
7/8/2023,86.35
7/15/2023,91.82
7/22/2023,88.7
7/29/2023,83.41
8/5/2023,86.8
8/12/2023,88.05
8/19/2023,85.25
8/26/2023,85.64
9/2/2023,81.62
9/9/2023,82.1
9/16/2023,85.3
9/23/2023,81.45
9/30/2023,80.62
10/7/2023,85.66
10/14/2023,81.67
10/21/2023,79.36
10/28/2023,77.2
11/4/2023,78.5
11/11/2023,76.23
11/18/2023,76.46
11/25/2023,72.45
12/2/2023,68.62
12/9/2023,67.57
12/16/2023,76.94
12/23/2023,77.98
12/30/2023,73.97
1/6/2024,63.8
1/13/2024,63.42
1/20/2024,63.1
1/27/2024,63.5
2/3/2024,58.8
2/10/2024,57.11
2/17/2024,52.51
2/24/2024,56.31
3/2/2024,58.5
3/9/2024,59.38
3/16/2024,61.5
3/23/2024,61.93
3/30/2024,61.01
4/6/2024,71.64
4/13/2024,68.52
4/20/2024,67.51
4/27/2024,71.84
5/4/2024,71.59
5/11/2024,70.52
5/18/2024,75.78
5/25/2024,74.07
6/1/2024,71.42
6/8/2024,68.53
6/15/2024,68.05
6/22/2024,67.36
6/29/2024,70.35
7/6/2024,69.35
7/13/2024,66
7/20/2024,67.87
7/27/2024,70.58
8/3/2024,70.14
8/10/2024,72.52
8/17/2024,71.13
8/24/2024,70.3
8/31/2024,66.5
9/7/2024,64.99
9/14/2024,63.39
9/21/2024,66.33
9/28/2024,62.05
10/5/2024,64.62
10/12/2024,62.28
10/19/2024,66.97
10/26/2024,63.87
11/2/2024,68.02
11/9/2024,68.01
11/16/2024,69.27
11/23/2024,69.12
11/30/2024,69
12/7/2024,65.11
12/14/2024,66.85
12/21/2024,70.15
12/28/2024,74.45
1/4/2025,73.34
1/11/2025,77.6
1/18/2025,79.95
1/25/2025,82.19
2/1/2025,80.65
2/8/2025,78.12
2/15/2025,72.37
2/22/2025,69.56
3/1/2025,67.21
3/8/2025,70.06
3/15/2025,70.51
3/22/2025,67.91
3/29/2025,63.08
4/5/2025,64.08
4/12/2025,65.12
