date,label
5/28/2020,22.18
5/31/2020,21.75
6/1/2020,22.84
6/2/2020,22.85
6/3/2020,22.98
6/4/2020,24.02
6/7/2020,23.48
6/8/2020,23.24
6/9/2020,23.68
6/10/2020,23.04
6/11/2020,22.78
6/14/2020,22.93
6/15/2020,23.55
6/16/2020,23.52
6/17/2020,25.23
6/18/2020,24.92
6/21/2020,25.28
6/22/2020,26.15
6/23/2020,26.14
6/24/2020,25.92
6/25/2020,25.46
6/28/2020,27.35
6/29/2020,27.68
6/30/2020,28.42
7/1/2020,28.09
7/2/2020,28.64
7/5/2020,30.43
7/6/2020,30.12
7/7/2020,30.06
7/8/2020,29.37
7/9/2020,29.78
7/12/2020,30.14
7/13/2020,30.46
7/14/2020,29.7
7/15/2020,27.67
7/16/2020,28.76
7/19/2020,27.1
7/20/2020,27.51
7/21/2020,27.53
7/22/2020,28.23
7/23/2020,27.27
7/26/2020,25.91
7/27/2020,26.67
7/28/2020,27.13
7/29/2020,26.48
7/30/2020,27.22
8/2/2020,27.08
8/3/2020,27.75
8/4/2020,27.69
8/5/2020,27.3
8/6/2020,27.32
8/9/2020,27.6
8/10/2020,27.08
8/11/2020,26.87
8/12/2020,26.3
8/13/2020,26.36
8/16/2020,27.17
8/17/2020,27.41
8/18/2020,27.08
8/19/2020,26.75
8/20/2020,26.48
8/23/2020,28.32
8/24/2020,29.46
8/25/2020,29.48
8/26/2020,29.23
8/27/2020,30.38
8/30/2020,29.53
8/31/2020,28.61
9/1/2020,29.06
9/2/2020,29.53
9/3/2020,28.13
9/6/2020,27.81
9/7/2020,27.53
9/8/2020,27.94
9/9/2020,29.15
9/10/2020,28.99
9/13/2020,31.2
9/14/2020,30.53
9/15/2020,30.71
9/16/2020,29.13
9/17/2020,28.68
9/20/2020,27.05
9/21/2020,28.47
9/22/2020,27.12
9/23/2020,27.4
9/24/2020,26.75
9/27/2020,28.28
9/28/2020,27.36
9/29/2020,27.5
9/30/2020,27.07
10/1/2020,27.59
10/4/2020,27.49
10/5/2020,27.34
10/6/2020,27.44
10/7/2020,26.88
10/8/2020,26.24
10/11/2020,26.4
10/12/2020,25.74
10/13/2020,26.28
