date," Price Index for Consumer: Energy(electricity, heat, fuel) "
2016-06-19,97.378
2016-06-26,97.45342857142856
2016-07-03,97.52885714285713
2016-07-10,97.60428571428571
2016-07-17,97.67971428571428
2016-07-24,97.75514285714286
2016-07-31,97.83057142857142
2016-08-07,97.90599999999999
2016-08-14,97.98142857142857
2016-08-21,98.05685714285714
2016-08-28,98.13228571428571
2016-09-04,98.20771428571427
2016-09-11,98.28314285714285
2016-09-18,98.35857142857142
2016-09-25,98.434
2016-10-02,98.50942857142857
2016-10-09,98.58485714285713
2016-10-16,98.6602857142857
2016-10-23,98.73571428571428
2016-10-30,98.81114285714285
2016-11-06,98.88657142857143
2016-11-13,98.96199999999999
2016-11-20,99.03742857142856
2016-11-27,99.11285714285714
2016-12-04,99.18828571428571
2016-12-11,99.26371428571429
2016-12-18,99.33914285714285
2016-12-25,99.41457142857142
2017-01-01,99.49
2017-01-08,99.50820512820512
2017-01-15,99.52641025641026
2017-01-22,99.54461538461538
2017-01-29,99.56282051282051
2017-02-05,99.58102564102563
2017-02-12,99.59923076923077
2017-02-19,99.6174358974359
2017-02-26,99.63564102564102
2017-03-05,99.65384615384615
2017-03-12,99.67205128205129
2017-03-19,99.69025641025641
2017-03-26,99.70846153846153
2017-04-02,99.72666666666666
2017-04-09,99.7448717948718
2017-04-16,99.76307692307692
2017-04-23,99.78128205128205
2017-04-30,99.79948717948717
2017-05-07,99.81769230769231
2017-05-14,99.83589743589744
2017-05-21,99.85410256410256
2017-05-28,99.87230769230769
2017-06-04,99.89051282051282
2017-06-11,99.90871794871795
2017-06-18,99.92692307692307
2017-06-25,99.9451282051282
2017-07-02,99.96333333333334
2017-07-09,99.98153846153846
2017-07-16,99.99974358974359
2017-07-23,100.01794871794871
2017-07-30,100.03615384615385
2017-08-06,100.05435897435898
2017-08-13,100.0725641025641
2017-08-20,100.09076923076923
2017-08-27,100.10897435897436
2017-09-03,100.12717948717949
2017-09-10,100.14538461538461
2017-09-17,100.16358974358974
2017-09-24,100.18179487179488
2017-10-01,100.2
2017-10-08,100.22192307692308
2017-10-15,100.24384615384615
2017-10-22,100.26576923076924
2017-10-29,100.28769230769231
2017-11-05,100.30961538461538
2017-11-12,100.33153846153846
2017-11-19,100.35346153846154
2017-11-26,100.37538461538462
2017-12-03,100.39730769230769
2017-12-10,100.41923076923077
2017-12-17,100.44115384615385
2017-12-24,100.46307692307693
2017-12-31,100.485
2018-01-07,100.50692307692307
2018-01-14,100.52884615384615
2018-01-21,100.55076923076923
2018-01-28,100.57269230769231
2018-02-04,100.59461538461538
2018-02-11,100.61653846153845
2018-02-18,100.63846153846154
2018-02-25,100.66038461538461
2018-03-04,100.68230769230769
2018-03-11,100.70423076923076
2018-03-18,100.72615384615385
2018-03-25,100.74807692307692
2018-04-01,100.77
2018-04-08,100.94461538461537
2018-04-15,101.11923076923077
2018-04-22,101.29384615384615
2018-04-29,101.46846153846154
2018-05-06,101.64307692307692
2018-05-13,101.81769230769231
2018-05-20,101.99230769230769
2018-05-27,102.16692307692308
2018-06-03,102.34153846153846
2018-06-10,102.51615384615386
2018-06-17,102.69076923076923
2018-06-24,102.86538461538463
2018-07-01,103.04
2018-07-08,103.07032786885246
2018-07-15,103.10065573770493
2018-07-22,103.13098360655738
2018-07-29,103.16131147540985
2018-08-05,103.1916393442623
2018-08-12,103.22196721311477
2018-08-19,103.25229508196722
2018-08-26,103.28262295081967
2018-09-02,103.31295081967214
2018-09-09,103.34327868852459
2018-09-16,103.37360655737706
2018-09-23,103.40393442622951
2018-09-30,103.43426229508198
2018-10-07,103.46459016393443
2018-10-14,103.49491803278688
2018-10-21,103.52524590163935
2018-10-28,103.5555737704918
2018-11-04,103.58590163934427
2018-11-11,103.61622950819672
2018-11-18,103.64655737704919
2018-11-25,103.67688524590164
2018-12-02,103.7072131147541
2018-12-09,103.73754098360656
2018-12-16,103.76786885245902
2018-12-23,103.79819672131148
2018-12-30,103.82852459016394
2019-01-06,103.8588524590164
2019-01-13,103.88918032786886
2019-01-20,103.91950819672131
2019-01-27,103.94983606557378
2019-02-03,103.98016393442623
2019-02-10,104.0104918032787
2019-02-17,104.04081967213115
2019-02-24,104.07114754098362
2019-03-03,104.10147540983607
2019-03-10,104.13180327868852
2019-03-17,104.16213114754099
2019-03-24,104.19245901639344
2019-03-31,104.22278688524591
2019-04-07,104.25311475409836
2019-04-14,104.28344262295082
2019-04-21,104.31377049180328
2019-04-28,104.34409836065574
2019-05-05,104.3744262295082
2019-05-12,104.40475409836066
2019-05-19,104.43508196721312
2019-05-26,104.46540983606558
2019-06-02,104.49573770491803
2019-06-09,104.5260655737705
2019-06-16,104.55639344262295
2019-06-23,104.58672131147542
2019-06-30,104.61704918032787
2019-07-07,104.64737704918034
2019-07-14,104.67770491803279
2019-07-21,104.70803278688524
2019-07-28,104.73836065573771
2019-08-04,104.76868852459016
2019-08-11,104.79901639344263
2019-08-18,104.82934426229508
2019-08-25,104.85967213114755
2019-09-01,104.89
2019-09-08,104.90615384615384
2019-09-15,104.9223076923077
2019-09-22,104.93846153846154
2019-09-29,104.95461538461538
2019-10-06,104.97076923076924
2019-10-13,104.98692307692308
2019-10-20,105.00307692307692
2019-10-27,105.01923076923076
2019-11-03,105.03538461538461
2019-11-10,105.05153846153846
2019-11-17,105.0676923076923
2019-11-24,105.08384615384615
2019-12-01,105.1
2019-12-08,105.07384615384615
2019-12-15,105.0476923076923
2019-12-22,105.02153846153846
2019-12-29,104.99538461538461
2020-01-05,104.96923076923076
2020-01-12,104.94307692307692
2020-01-19,104.91692307692308
2020-01-26,104.89076923076924
2020-02-02,104.86461538461539
2020-02-09,104.83846153846154
2020-02-16,104.8123076923077
2020-02-23,104.78615384615385
2020-03-01,104.76
2020-03-08,104.73685714285715
2020-03-15,104.71371428571429
2020-03-22,104.69057142857143
2020-03-29,104.66742857142857
2020-04-05,104.64428571428572
2020-04-12,104.62114285714286
