date,stoxx50
3/1/2021,3706.62
3/2/2021,3707.72
3/3/2021,3712.78
3/4/2021,3704.85
3/5/2021,3669.54
3/8/2021,3763.24
3/9/2021,3786.05
3/10/2021,3819.92
3/11/2021,3845.64
3/12/2021,3833.36
3/15/2021,3829.84
3/16/2021,3850.96
3/17/2021,3849.74
3/18/2021,3867.54
3/19/2021,3837.02
3/22/2021,3833.84
3/23/2021,3827.02
3/24/2021,3832.55
3/25/2021,3832.57
3/26/2021,3866.68
3/29/2021,3882.87
3/30/2021,3926.2
3/31/2021,3919.21
4/1/2021,3945.96
4/6/2021,3970.42
4/7/2021,3956.77
4/8/2021,3977.83
4/9/2021,3978.84
4/12/2021,3961.9
4/13/2021,3966.99
4/14/2021,3976.28
4/15/2021,3993.43
4/16/2021,4032.99
4/19/2021,4019.91
4/20/2021,3940.46
4/21/2021,3976.41
4/22/2021,4014.8
4/23/2021,4013.34
4/26/2021,4020.83
4/27/2021,4011.91
4/28/2021,4015.03
4/29/2021,3996.9
4/30/2021,3974.74
5/3/2021,4000.25
5/4/2021,3924.8
5/5/2021,4002.79
5/6/2021,3999.44
5/7/2021,4034.25
5/10/2021,4023.35
5/11/2021,3946.06
5/12/2021,3947.43
5/13/2021,3952.45
5/14/2021,4017.44
5/17/2021,4006.84
5/18/2021,4005.34
5/19/2021,3936.74
5/20/2021,3999.91
5/21/2021,4025.78
5/25/2021,4036.04
5/26/2021,4031.67
5/27/2021,4039.21
5/28/2021,4070.56
5/31/2021,4039.46
6/1/2021,4071.75
6/2/2021,4088.5
6/3/2021,4079.24
6/4/2021,4089.38
6/7/2021,4097.65
6/8/2021,4096.01
6/9/2021,4096.85
6/10/2021,4096.07
6/11/2021,4126.7
6/14/2021,4132.67
6/15/2021,4143.52
6/16/2021,4151.76
6/17/2021,4158.14
6/18/2021,4083.37
6/21/2021,4112.33
6/22/2021,4123.13
6/23/2021,4075.94
6/24/2021,4122.43
6/25/2021,4120.66
6/28/2021,4089.91
6/29/2021,4107.51
6/30/2021,4064.3
7/1/2021,4078.89
7/2/2021,4084.31
7/5/2021,4087.37
7/6/2021,4052.67
7/7/2021,4078.53
7/8/2021,3991.66
7/9/2021,4068.09
7/12/2021,4093.38
7/13/2021,4094.56
7/14/2021,4099.5
7/15/2021,4056.39
7/16/2021,4035.77
7/19/2021,3928.53
7/20/2021,3956.34
7/21/2021,4026.68
7/22/2021,4059.05
7/23/2021,4109.1
7/26/2021,4102.59
7/27/2021,4064.83
7/28/2021,4103.03
7/29/2021,4116.77
7/30/2021,4089.3
8/2/2021,4116.62
8/3/2021,4117.95
8/4/2021,4144.9
8/5/2021,4161.08
8/6/2021,4174.54
8/9/2021,4177.15
8/10/2021,4187.82
8/11/2021,4206.33
8/12/2021,4226.33
8/13/2021,4229.7
8/16/2021,4202.44
8/17/2021,4196.4
8/18/2021,4189.42
8/19/2021,4124.71
8/20/2021,4147.5
8/23/2021,4176.42
8/24/2021,4178.08
8/25/2021,4181.12
8/26/2021,4169.87
8/27/2021,4190.98
8/30/2021,4198.8
8/31/2021,4196.41
9/1/2021,4227.27
9/2/2021,4232.1
9/3/2021,4201.98
9/6/2021,4246.13
9/7/2021,4225.01
9/8/2021,4177.15
9/9/2021,4177.11
9/10/2021,4170.35
9/13/2021,4189.53
9/14/2021,4191.67
9/15/2021,4145.94
9/16/2021,4169.87
9/17/2021,4130.84
9/20/2021,4043.63
9/21/2021,4097.51
9/22/2021,4150.19
9/23/2021,4194.92
9/24/2021,4158.51
9/27/2021,4165.48
9/28/2021,4058.82
9/29/2021,4080.22
9/30/2021,4048.08
10/1/2021,4035.3
10/4/2021,3996.41
10/5/2021,4065.43
10/6/2021,4012.65
10/7/2021,4098.34
10/8/2021,4073.29
10/11/2021,4072.52
10/12/2021,4055.09
10/13/2021,4083.28
10/14/2021,4149.06
10/15/2021,4182.91
10/18/2021,4151.4
10/19/2021,4166.83
10/20/2021,4172.17
10/21/2021,4155.73
10/22/2021,4188.81
10/25/2021,4188.31
10/26/2021,4223.97
10/27/2021,4220.88
10/28/2021,4233.87
10/29/2021,4250.56
11/1/2021,4280.47
11/2/2021,4296.22
11/3/2021,4309.61
11/4/2021,4333.34
11/5/2021,4363.04
11/8/2021,4352.53
11/9/2021,4344.63
11/10/2021,4348.82
11/11/2021,4358
11/12/2021,4370.33
11/15/2021,4386.19
11/16/2021,4401.49
11/17/2021,4400.81
11/18/2021,4383.7
11/19/2021,4356.47
11/22/2021,4338.69
11/23/2021,4283.82
11/24/2021,4276.25
11/25/2021,4293.24
11/26/2021,4089.58
11/29/2021,4109.51
11/30/2021,4063.06
12/1/2021,4179.15
12/2/2021,4108.02
12/3/2021,4080.15
12/6/2021,4137.11
12/7/2021,4276.2
12/8/2021,4233.09
