date,label," Price Index for Consumer: Energy(electricity, heat, fuel) "
2016-04-09,5.47,97.30846153846151
2016-04-16,5.96,97.19384615384617
2016-04-23,6.17,97.07923076923076
2016-04-30,5.85,96.9646153846154
2016-05-07,5.84,96.85
2016-05-14,5.95,96.92542857142855
2016-05-21,6.02,97.00085714285714
2016-05-28,5.93,97.0762857142857
2016-06-04,5.94,97.15171428571428
2016-06-11,5.66,97.22714285714284
2016-06-18,4.95,97.30257142857144
2016-06-25,4.61,97.378
2016-07-02,4.53,97.45342857142856
2016-07-09,4.92,97.52885714285712
2016-07-16,4.55,97.60428571428572
2016-07-23,4.41,97.67971428571428
2016-07-30,4.72,97.75514285714286
2016-08-06,4.89,97.83057142857142
2016-08-13,4.76,97.906
2016-08-20,4.69,97.98142857142857
2016-08-27,4.08,98.05685714285714
2016-09-03,4.08,98.13228571428571
2016-09-10,4.36,98.20771428571427
2016-09-17,4.54,98.28314285714283
2016-09-24,4.96,98.35857142857142
2016-10-01,5.69,98.434
2016-10-08,5.81,98.50942857142856
2016-10-15,5.89,98.58485714285712
2016-10-22,5.88,98.6602857142857
2016-10-29,6.41,98.73571428571428
2016-11-05,5.67,98.81114285714284
2016-11-12,5.58,98.88657142857144
2016-11-19,5.0,98.962
2016-11-26,4.3,99.03742857142856
2016-12-03,4.46,99.11285714285714
2016-12-10,4.93,99.18828571428573
2016-12-17,6.22,99.26371428571429
2016-12-24,6.54,99.33914285714285
2016-12-31,5.03,99.41457142857142
2017-01-07,5.03,99.49
2017-01-14,5.42,99.50820512820512
2017-01-21,4.91,99.52641025641026
2017-01-28,5.49,99.54461538461538
2017-02-04,5.45,99.56282051282052
2017-02-11,5.31,99.58102564102563
2017-02-18,5.73,99.59923076923076
2017-02-25,5.94,99.6174358974359
2017-03-04,5.51,99.63564102564102
2017-03-11,5.48,99.65384615384616
2017-03-18,5.11,99.67205128205129
2017-03-25,5.04,99.6902564102564
2017-04-01,5.25,99.70846153846152
2017-04-08,5.32,99.72666666666666
2017-04-15,4.94,99.7448717948718
2017-04-22,4.94,99.76307692307692
2017-04-29,4.94,99.78128205128203
2017-05-06,4.83,99.79948717948716
2017-05-13,5.22,99.81769230769233
2017-05-20,5.58,99.83589743589744
2017-05-27,5.54,99.85410256410256
2017-06-03,5.42,99.87230769230769
2017-06-10,5.26,99.89051282051282
2017-06-17,5.25,99.90871794871796
2017-06-24,5.42,99.92692307692307
2017-07-01,5.74,99.9451282051282
2017-07-08,5.82,99.96333333333334
2017-07-15,5.6,99.98153846153846
2017-07-22,5.69,99.9997435897436
2017-07-29,5.86,100.01794871794873
2017-08-05,5.99,100.03615384615384
2017-08-12,6.41,100.05435897435898
2017-08-19,6.69,100.0725641025641
2017-08-26,6.43,100.09076923076924
2017-09-02,7.56,100.10897435897436
2017-09-09,7.44,100.12717948717948
2017-09-16,7.14,100.1453846153846
2017-09-23,7.59,100.16358974358974
2017-09-30,7.52,100.18179487179488
