date,label,sentiment
2019-02-06,25.02,0.803497
2019-02-07,23.91,0.944886
2019-02-10,23.97,0.0
2019-02-11,22.25,0.757517
2019-02-12,22.51,0.874241
2019-02-13,21.37,0.0
2019-02-14,22.04,0.699183
2019-02-17,21.6,0.0
2019-02-18,21.81,0.80382
2019-02-19,22.04,0.0
2019-02-20,20.32,0.909421
2019-02-21,20.43,0.0
2019-02-24,20.65,0.0
2019-02-25,21.08,-0.86557
2019-02-26,22.7,0.0
2019-02-27,23.13,-0.87541
2019-02-28,23.73,0.808593
2019-03-03,24.6,0.0
2019-03-04,24.42,-0.89642
2019-03-05,23.6,0.497255
2019-03-06,24.76,-0.95372
2019-03-07,24.52,0.900132
2019-03-10,23.78,0.0
2019-03-11,23.8,-0.9728
2019-03-12,23.72,-0.89979
2019-03-13,24.2,0.397315
2019-03-14,23.92,0.9154
2019-03-17,23.22,0.0
2019-03-18,22.53,0.907416
2019-03-19,23.02,0.732417
2019-03-20,22.28,0.0
2019-03-21,21.99,0.897109
2019-03-24,22.23,0.0
2019-03-25,22.84,-0.65574
2019-03-26,23.15,0.863248
2019-03-27,23.55,0.692262
2019-03-28,22.82,-0.65145
2019-03-31,23.16,0.0
2019-04-01,23.25,0.484524
2019-04-02,24.45,0.0
2019-04-03,25.72,0.0
2019-04-04,25.9,-0.84044
2019-04-07,25.58,0.0
2019-04-08,26.84,0.841513
2019-04-09,27.41,0.913448
2019-04-10,28.58,0.0
2019-04-11,27.82,-0.96893
2019-04-14,28.05,0.0
2019-04-15,28.25,-0.96117
2019-04-16,28.71,0.848216
2019-04-17,28.14,-0.97186
2019-04-22,28.8,0.947161
2019-04-23,28.66,0.903836
2019-04-24,28.54,-0.72041
2019-04-25,27.09,0.815956
2019-04-28,27.55,0.0
2019-04-29,27.43,-0.93817
2019-04-30,26.89,0.539359
2019-05-01,25.79,0.0
2019-05-02,26.29,-0.86277
2019-05-05,26.42,0.0
2019-05-06,27.47,-0.42351
2019-05-07,27.99,-0.94851
2019-05-08,27.57,-0.56733
2019-05-09,26.62,-0.9636
